,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
485,"[26, 15.0]","[28.0, 15.0]","[15.25, 6.0]","[22.75, 13.5]","[45.5, 10.5]","[19.5, 19.5]","[24, 21.0]","[26, 13.5]","[24, 12.0]","[26, 6.0]"
486,"[44.25, 19.5]","[34.5, 13.5]","(0, 0)","[22.75, 6.0]","(0, 0)","[26, 22.5]","[24, 13.5]","[22.75, 12.0]","(0, 0)","(0, 0)"
487,"(0, 0)","[44.25, 19.5]","[22.75, 6.0]","(0, 0)","(0, 0)","[31.25, 16.5]","[19.5, 21.0]","[22.75, 16.5]","(0, 0)","(0, 0)"
488,"(0, 0)","[44.25, 21.0]","(0, 0)","[37.75, 10.5]","[44.25, 22.5]","[44.25, 22.5]","[15.25, 10.5]","[20.75, 18.0]","[37.75, 15.0]","(0, 0)"
489,"[26, 15.0]","[52.0, 13.5]","(0, 0)","[42.25, 9.0]","[32.5, 19.5]","[39.0, 9.0]","(0, 0)","[20.75, 9.0]","[44.25, 21.0]","[28.0, 12.0]"
490,"[26, 22.5]","[45.5, 22.5]","[52.0, 9.0]","(0, 0)","[26, 22.5]","[35.75, 9.0]","[20.75, 10.5]","(0, 0)","[47.5, 10.5]","[28.0, 15.0]"
491,"[22.75, 16.5]","(0, 0)","[42.25, 16.5]","(0, 0)","[24, 18.0]","[20.75, 9.0]","[39.0, 12.0]","[34.5, 9.0]","[48.75, 12.0]","[28.0, 18.0]"
492,"[22.75, 13.5]","(0, 0)","[41.0, 21.0]","[20.75, 12.0]","[22.75, 13.5]","(0, 0)","[44.25, 12.0]","[39.0, 12.0]","[32.5, 12.0]","[35.75, 13.5]"
493,"[22.75, 12.0]","[34.5, 6.0]","[41.0, 15.0]","[19.5, 21.0]","[22.75, 15.0]","[15.25, 10.5]","[48.75, 10.5]","(0, 0)","[29.25, 10.5]","[47.5, 15.0]"
494,"(0, 0)","[34.5, 15.0]","[37.75, 21.0]","[22.75, 13.5]","[19.5, 21.0]","(0, 0)","(0, 0)","(0, 0)","(0, 0)","[39.0, 12.0]"
495,"[24, 12.0]","[35.75, 22.5]","[28.0, 13.5]","[26, 22.5]","[15.25, 10.5]","(0, 0)","(0, 0)","(0, 0)","[24, 6.0]","[29.25, 6.0]"
496,"[35.75, 10.5]","[32.5, 18.0]","[26, 15.0]","[28.0, 18.0]","(0, 0)","[52.0, 12.0]","[45.5, 10.5]","[22.75, 6.0]","[24, 9.0]","(0, 0)"
497,"[47.5, 9.0]","[24, 19.5]","[26, 22.5]","[32.5, 21.0]","[41.0, 9.0]","[47.5, 10.5]","[45.5, 22.5]","[22.75, 12.0]","[24, 12.0]","[20.75, 9.0]"
498,"[44.25, 16.5]","[19.5, 21.0]","[22.75, 12.0]","[32.5, 18.0]","[45.5, 12.0]","[47.5, 18.0]","[44.25, 15.0]","[41.0, 22.5]","[19.5, 21.0]","[19.5, 21.0]"
499,"[41.0, 13.5]","(0, 0)","(0, 0)","[45.5, 22.5]","[44.25, 22.5]","[26, 22.5]","[39.0, 15.0]","[41.0, 12.0]","[37.75, 15.0]","[24, 18.0]"
500,"[26, 15.0]","[34.5, 6.0]","[24, 9.0]","[48.75, 16.5]","(0, 0)","[19.5, 21.0]","[39.0, 9.0]","(0, 0)","(0, 0)","[26, 15.0]"
501,"(0, 0)","(0, 0)","[52.0, 9.0]","[47.5, 16.5]","(0, 0)","[20.75, 9.0]","[35.75, 10.5]","(0, 0)","(0, 0)","[26, 6.0]"
502,"(0, 0)","(0, 0)","(0, 0)","[42.25, 15.0]","[28.0, 16.5]","(0, 0)","[24, 10.5]","(0, 0)","[42.25, 18.0]","[28.0, 12.0]"
503,"[20.75, 10.5]","[20.75, 16.5]","(0, 0)","[24, 13.5]","[24, 19.5]","[24, 10.5]","(0, 0)","[20.75, 6.0]","[42.25, 16.5]","(0, 0)"
