wave,distance,routes,order_per_wave,robot
58,263,"[[22.75, 12.0], [19.5, 21.0], [24, 18.0], [26, 15.0], [37.75, 19.5], [47.5, 21.0], [44.25, 6.0], [42.25, 6.0], [34.5, 12.0], [28.0, 9.0], (0, 0), [22.75, 12.0]]",9,R9
59,164,"[[34.5, 12.0], [34.5, 18.0], [47.5, 21.0], [22.75, 10.5], (0, 0), [31.25, 6.0], [34.5, 12.0]]",9,R10
60,264,"[[20.75, 12.0], [20.75, 21.0], [19.5, 21.0], [22.75, 12.0], [22.75, 6.0], [24, 12.0], [24, 15.0], [26, 22.5], [34.5, 16.5], [41.0, 10.5], [44.25, 9.0], [39.0, 9.0], [31.25, 6.0], (0, 0), [20.75, 12.0]]",9,R1
61,202,"[(0, 0), [15.25, 10.5], [19.5, 21.0], [22.75, 18.0], [26, 18.0], [35.75, 21.0], [35.75, 18.0], [32.5, 19.5], [31.25, 12.0], [34.5, 9.0], (0, 0)]",9,R2
62,199,"[[35.75, 22.5], [35.75, 10.5], [37.75, 9.0], (0, 0), [20.75, 9.0], [20.75, 16.5], [19.5, 21.0], [19.5, 19.5], [22.75, 21.0], [45.5, 15.0], [35.75, 22.5]]",9,R3
63,127,"[[32.5, 12.0], [35.75, 22.5], [35.75, 21.0], [20.75, 9.0], (0, 0), [32.5, 12.0]]",9,R4
64,196,"[[24, 21.0], [19.5, 21.0], [15.25, 10.5], [15.25, 6.0], (0, 0), [20.75, 9.0], [20.75, 15.0], [32.5, 18.0], [42.25, 18.0], [41.0, 13.5], [24, 21.0]]",9,R5
65,184,"[[31.25, 16.5], [35.75, 22.5], [37.75, 21.0], [24, 19.5], [24, 16.5], [22.75, 15.0], [19.5, 21.0], [19.5, 13.5], (0, 0), [26, 6.0], [31.25, 16.5]]",9,R6
66,274,"[[22.75, 13.5], [22.75, 15.0], [19.5, 21.0], [35.75, 21.0], [39.0, 16.5], [41.0, 15.0], [44.25, 22.5], [44.25, 16.5], [45.5, 21.0], [45.5, 19.5], [47.5, 12.0], [26, 6.0], [24, 9.0], (0, 0), [20.75, 9.0], [22.75, 13.5]]",9,R7
67,185,"[[22.75, 6.0], [22.75, 10.5], [24, 6.0], [24, 18.0], [19.5, 21.0], [19.5, 18.0], [26, 21.0], [28.0, 15.0], [34.5, 9.0], (0, 0), [22.75, 6.0]]",9,R8
68,203,"[[24, 15.0], [24, 18.0], [35.75, 13.5], [19.5, 21.0], [19.5, 12.0], [15.25, 9.0], (0, 0), [20.75, 12.0], [22.75, 12.0], [22.75, 15.0], [22.75, 16.5], [24, 15.0]]",9,R9
69,259,"[[42.25, 16.5], [45.5, 16.5], [47.5, 19.5], [47.5, 10.5], [44.25, 12.0], [41.0, 16.5], [41.0, 9.0], (0, 0), [22.75, 13.5], [22.75, 21.0], [19.5, 21.0], [26, 15.0], [42.25, 16.5]]",9,R10
70,255,"[(0, 0), [20.75, 9.0], [26, 16.5], [41.0, 18.0], [41.0, 13.5], [47.5, 16.5], [47.5, 10.5], [44.25, 10.5], [42.25, 6.0], [39.0, 9.0], [31.25, 12.0], (0, 0)]",9,R1
71,299,"[[32.5, 9.0], [31.25, 10.5], [22.75, 6.0], [22.75, 12.0], [22.75, 13.5], [19.5, 12.0], (0, 0), [20.75, 12.0], [37.75, 13.5], [41.0, 21.0], [41.0, 15.0], [47.5, 21.0], [45.5, 15.0], [42.25, 12.0], [32.5, 9.0]]",9,R2
72,223,"[[22.75, 13.5], [22.75, 6.0], (0, 0), [20.75, 12.0], [20.75, 15.0], [15.25, 21.0], [24, 16.5], [26, 15.0], [41.0, 15.0], [41.0, 10.5], [31.25, 6.0], [22.75, 13.5]]",9,R3
73,199,"[[41.0, 22.5], [37.75, 21.0], [32.5, 21.0], [26, 13.5], [26, 10.5], [24, 6.0], [24, 13.5], [24, 16.5], [22.75, 12.0], (0, 0), [39.0, 9.0], [41.0, 22.5]]",9,R4
74,243,"[[24, 6.0], [24, 9.0], [24, 12.0], [24, 19.5], [28.0, 18.0], [37.75, 21.0], [37.75, 12.0], [52.0, 13.5], [22.75, 13.5], [19.5, 21.0], [15.25, 10.5], (0, 0), [24, 6.0]]",9,R5
