wave,distance,routes,order_per_wave,robot
60,263,"[(0, 0), [20.75, 12.0], [20.75, 21.0], [19.5, 21.0], [24, 15.0], [24, 12.0], [26, 22.5], [34.5, 16.5], [41.0, 10.5], [44.25, 9.0], [39.0, 9.0], [31.25, 6.0], [22.75, 12.0], [22.75, 6.0], (0, 0)]",9,R2
61,203,"[(0, 0), [15.25, 10.5], [19.5, 21.0], [22.75, 18.0], [26, 18.0], [32.5, 19.5], [35.75, 18.0], [35.75, 21.0], [34.5, 9.0], [31.25, 12.0], (0, 0)]",9,R2
62,199,"[(0, 0), [20.75, 9.0], [20.75, 16.5], [19.5, 21.0], [19.5, 19.5], [22.75, 21.0], [45.5, 15.0], [35.75, 22.5], [35.75, 10.5], [37.75, 9.0], (0, 0)]",9,R2
63,127,"[(0, 0), [20.75, 9.0], [35.75, 22.5], [35.75, 21.0], [32.5, 12.0], (0, 0)]",9,R2
64,197,"[(0, 0), [15.25, 10.5], [15.25, 6.0], [20.75, 9.0], [20.75, 15.0], [19.5, 21.0], [24, 21.0], [32.5, 18.0], [42.25, 18.0], [41.0, 13.5], (0, 0)]",9,R2
65,184,"[(0, 0), [26, 6.0], [31.25, 16.5], [35.75, 22.5], [37.75, 21.0], [24, 19.5], [24, 16.5], [22.75, 15.0], [19.5, 21.0], [19.5, 13.5], (0, 0)]",9,R2
66,274,"[(0, 0), [20.75, 9.0], [22.75, 13.5], [22.75, 15.0], [19.5, 21.0], [35.75, 21.0], [39.0, 16.5], [41.0, 15.0], [44.25, 16.5], [44.25, 22.5], [45.5, 21.0], [45.5, 19.5], [47.5, 12.0], [26, 6.0], [24, 9.0], (0, 0)]",9,R2
67,188,"[(0, 0), [24, 6.0], [34.5, 9.0], [28.0, 15.0], [26, 21.0], [24, 18.0], [19.5, 21.0], [19.5, 18.0], [22.75, 10.5], [22.75, 6.0], (0, 0)]",9,R2
68,205,"[(0, 0), [15.25, 9.0], [19.5, 12.0], [19.5, 21.0], [22.75, 16.5], [22.75, 15.0], [22.75, 12.0], [35.75, 13.5], [24, 18.0], [24, 15.0], [20.75, 12.0], (0, 0)]",9,R2
69,259,"[(0, 0), [22.75, 13.5], [22.75, 21.0], [19.5, 21.0], [26, 15.0], [42.25, 16.5], [44.25, 12.0], [47.5, 10.5], [47.5, 19.5], [45.5, 16.5], [41.0, 16.5], [41.0, 9.0], (0, 0)]",9,R2
70,255,"[(0, 0), [20.75, 9.0], [26, 16.5], [41.0, 18.0], [41.0, 13.5], [47.5, 16.5], [47.5, 10.5], [44.25, 10.5], [42.25, 6.0], [39.0, 9.0], [31.25, 12.0], (0, 0)]",9,R2
71,301,"[(0, 0), [19.5, 12.0], [20.75, 12.0], [22.75, 6.0], [22.75, 12.0], [22.75, 13.5], [41.0, 15.0], [41.0, 21.0], [45.5, 15.0], [47.5, 21.0], [42.25, 12.0], [37.75, 13.5], [32.5, 9.0], [31.25, 10.5], (0, 0)]",9,R2
72,226,"[(0, 0), [22.75, 6.0], [22.75, 13.5], [15.25, 21.0], [20.75, 15.0], [20.75, 12.0], [24, 16.5], [26, 15.0], [41.0, 15.0], [41.0, 10.5], [31.25, 6.0], (0, 0)]",9,R2
73,199,"[(0, 0), [24, 6.0], [24, 13.5], [24, 16.5], [32.5, 21.0], [37.75, 21.0], [41.0, 22.5], [39.0, 9.0], [26, 10.5], [26, 13.5], [22.75, 12.0], (0, 0)]",9,R2
74,243,"[(0, 0), [15.25, 10.5], [19.5, 21.0], [22.75, 13.5], [24, 6.0], [24, 9.0], [24, 12.0], [24, 19.5], [28.0, 18.0], [52.0, 13.5], [37.75, 21.0], [37.75, 12.0], (0, 0)]",9,R2
75,225,"[(0, 0), [20.75, 12.0], [32.5, 6.0], [44.25, 12.0], [44.25, 21.0], [44.25, 22.5], [52.0, 13.5], [37.75, 16.5], [28.0, 16.5], [28.0, 9.0], (0, 0)]",9,R2
76,203,"[(0, 0), [20.75, 15.0], [44.25, 15.0], [44.25, 13.5], [32.5, 15.0], [26, 15.0], [26, 6.0], [24, 9.0], [24, 12.0], (0, 0)]",9,R2
77,204,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [20.75, 16.5], [22.75, 12.0], [22.75, 13.5], [24, 18.0], [26, 19.5], [26, 21.0], [45.5, 16.5], [34.5, 13.5], [34.5, 12.0], (0, 0)]",9,R2
78,161,"[(0, 0), [22.75, 13.5], [24, 21.0], [24, 19.5], [29.25, 13.5], [41.0, 10.5], (0, 0)]",9,R2
79,243,"[(0, 0), [20.75, 12.0], [24, 9.0], [47.5, 10.5], [44.25, 12.0], [42.25, 16.5], [41.0, 15.0], [41.0, 13.5], [22.75, 12.0], (0, 0)]",9,R2
80,278,"[(0, 0), [22.75, 15.0], [24, 18.0], [26, 15.0], [29.25, 10.5], [44.25, 9.0], [42.25, 13.5], [39.0, 15.0], [41.0, 15.0], [41.0, 10.5], [28.0, 9.0], (0, 0)]",9,R2
